variable,init_month,lead,nse,crpss,n
agegate2_Sau,5,7,0.805,0.501,19
agegate2_Sau,6,1,0.486,0.16,23
agegate2_Sau,6,2,0.584,0.265,22
agegate2_Sau,6,3,0.621,0.296,22
agegate2_Sau,6,4,0.72,0.376,20
agegate2_Sau,6,5,0.693,0.448,19
agegate2_Sau,6,6,0.823,0.56,19
agegate2_Sau,6,7,0.569,0.45,19
agegate2_Sau,7,1,0.256,-0.001,22
agegate2_Sau,7,2,0.282,0.027,22
agegate2_Sau,7,3,0.6,0.214,20
agegate2_Sau,7,4,0.545,0.318,19
agegate2_Sau,7,5,0.701,0.416,19
agegate2_Sau,7,6,0.353,0.295,19
agegate2_Sau,7,7,0.723,0.473,21
agegate2_Sau,8,1,0.5,0.182,22
agegate2_Sau,8,2,0.734,0.331,20
agegate2_Sau,8,3,0.726,0.417,19
agegate2_Sau,8,4,0.796,0.524,19
agegate2_Sau,8,5,0.422,0.374,19
agegate2_Sau,8,6,0.766,0.541,21
agegate2_Sau,8,7,0.823,0.601,19
agegate2_Sau,9,1,0.688,0.283,20
agegate2_Sau,9,2,0.755,0.409,19
agegate2_Sau,9,3,0.75,0.45,19
agegate2_Sau,9,4,0.412,0.344,19
agegate2_Sau,9,5,0.742,0.493,20
agegate2_Sau,9,6,0.805,0.566,19
agegate2_Sau,9,7,0.771,0.535,19
agegate2_Sau,10,1,0.755,0.402,19
agegate2_Sau,10,2,0.731,0.392,19
agegate2_Sau,10,3,0.461,0.305,19
agegate2_Sau,10,4,0.749,0.433,21
agegate2_Sau,10,5,0.816,0.523,19
agegate2_Sau,10,6,0.802,0.495,19
agegate2_Sau,10,7,0.239,0.185,20
agegate2_Sau,11,1,0.612,0.307,19
agegate2_Sau,11,2,0.34,0.221,19
agegate2_Sau,11,3,0.511,0.222,21
agegate2_Sau,11,4,0.759,0.465,19
agegate2_Sau,11,5,0.751,0.448,19
agegate2_Sau,11,6,0.084,0.095,20
agegate2_Sau,11,7,-0.045,-0.169,22
agegate2_Sau,12,1,0.413,0.247,19
agegate2_Sau,12,2,0.608,0.297,20
agegate2_Sau,12,3,0.798,0.488,19
agegate2_Sau,12,4,0.788,0.468,19
agegate2_Sau,12,5,0.108,0.115,20
agegate2_Sau,12,6,0.007,-0.092,22
agegate2_Sau,12,7,0.078,-0.007,22
agegate3_Sau,1,1,0.712,0.452,12
agegate3_Sau,1,2,0.78,0.508,12
agegate3_Sau,1,3,0.574,0.35,13
agegate3_Sau,1,4,0.811,0.564,12
agegate3_Sau,1,5,0.727,0.464,15
agegate3_Sau,1,6,0.785,0.512,16
agegate3_Sau,1,7,0.884,0.657,14
agegate3_Sau,2,1,0.804,0.558,12
agegate3_Sau,2,2,0.613,0.363,13
agegate3_Sau,2,3,0.827,0.536,12
