variable,init_month,lead,nse,crpss,n
agegate4_Susqueda,11,1,0.512,0.339,23
agegate4_Susqueda,11,2,0.55,0.377,23
agegate4_Susqueda,11,3,0.505,0.403,23
agegate4_Susqueda,11,4,0.646,0.484,23
agegate4_Susqueda,11,5,0.636,0.493,23
agegate4_Susqueda,11,6,0.64,0.498,23
agegate4_Susqueda,11,7,0.555,0.418,23
agegate4_Susqueda,12,1,0.635,0.323,23
agegate4_Susqueda,12,2,0.642,0.411,23
agegate4_Susqueda,12,3,0.731,0.498,23
agegate4_Susqueda,12,4,0.709,0.507,23
agegate4_Susqueda,12,5,0.672,0.467,23
agegate4_Susqueda,12,6,0.622,0.436,23
agegate4_Susqueda,12,7,0.559,0.474,23
