variable,init_month,lead,correlation,nse,crpss,n
peakgate3_Susqueda,7,1,0.163,-0.163,-0.163,30
peakgate3_Susqueda,7,2,-0.088,0.088,0.088,30
peakgate3_Susqueda,7,3,-0.22,0.22,0.22,30
peakgate3_Susqueda,7,4,-0.055,0.055,0.055,30
peakgate3_Susqueda,7,5,-0.422,0.422,0.422,30
peakgate3_Susqueda,7,6,-0.225,0.225,0.225,30
peakgate3_Susqueda,7,7,-0.194,0.194,0.194,30
peakgate3_Susqueda,8,1,-0.013,0.013,0.013,30
peakgate3_Susqueda,8,2,-0.212,0.212,0.212,30
peakgate3_Susqueda,8,3,-0.009,0.009,0.009,30
peakgate3_Susqueda,8,4,-0.414,0.414,0.414,30
peakgate3_Susqueda,8,5,-0.202,0.202,0.202,30
peakgate3_Susqueda,8,6,-0.164,0.164,0.164,30
peakgate3_Susqueda,8,7,-0.071,0.071,0.071,30
peakgate3_Susqueda,9,1,-0.258,0.258,0.258,30
peakgate3_Susqueda,9,2,0.176,-0.176,-0.176,30
peakgate3_Susqueda,9,3,-0.369,0.369,0.369,30
peakgate3_Susqueda,9,4,-0.21,0.21,0.21,30
peakgate3_Susqueda,9,5,-0.194,0.194,0.194,30
peakgate3_Susqueda,9,6,-0.071,0.071,0.071,30
peakgate3_Susqueda,9,7,-0.162,0.162,0.162,29
peakgate3_Susqueda,10,1,0.205,-0.205,-0.205,30
peakgate3_Susqueda,10,2,-0.385,0.385,0.385,30
peakgate3_Susqueda,10,3,-0.217,0.217,0.217,30
peakgate3_Susqueda,10,4,-0.194,0.194,0.194,30
peakgate3_Susqueda,10,5,0.009,-0.009,-0.009,30
peakgate3_Susqueda,10,6,-0.167,0.167,0.167,29
peakgate3_Susqueda,10,7,-0.039,0.039,0.039,29
peakgate3_Susqueda,11,1,-0.373,0.373,0.373,30
peakgate3_Susqueda,11,2,-0.2,0.2,0.2,30
peakgate3_Susqueda,11,3,-0.311,0.311,0.311,30
peakgate3_Susqueda,11,4,-0.071,0.071,0.071,30
peakgate3_Susqueda,11,5,-0.256,0.256,0.256,29
peakgate3_Susqueda,11,6,-0.045,0.045,0.045,29
peakgate3_Susqueda,11,7,-0.206,0.206,0.206,29
peakgate3_Susqueda,12,1,-0.362,0.362,0.362,30
peakgate3_Susqueda,12,2,-0.194,0.194,0.194,30
peakgate3_Susqueda,12,3,-0.071,0.071,0.071,30
peakgate3_Susqueda,12,4,-0.135,0.135,0.135,29
peakgate3_Susqueda,12,5,-0.132,0.132,0.132,29
peakgate3_Susqueda,12,6,-0.28,0.28,0.28,29
peakgate3_Susqueda,12,7,-0.29,0.29,0.29,29
peakgate4_Susqueda,1,1,0.223,-0.223,-0.223,31
peakgate4_Susqueda,1,2,-0.087,0.087,0.087,31
peakgate4_Susqueda,1,3,-0.232,0.232,0.232,30
peakgate4_Susqueda,1,4,-0.138,0.138,0.138,30
peakgate4_Susqueda,1,5,-0.172,0.172,0.172,30
peakgate4_Susqueda,1,6,-0.259,0.259,0.259,30
peakgate4_Susqueda,1,7,-0.071,0.071,0.071,30
peakgate4_Susqueda,2,1,-0.087,0.087,0.087,31
peakgate4_Susqueda,2,2,-0.131,0.131,0.131,30
peakgate4_Susqueda,2,3,-0.031,0.031,0.031,30
peakgate4_Susqueda,2,4,-0.103,0.103,0.103,30
peakgate4_Susqueda,2,5,-0.264,0.264,0.264,30
peakgate4_Susqueda,2,6,-0.133,0.133,0.133,30
peakgate4_Susqueda,2,7,-0.141,0.141,0.141,30
peakgate4_Susqueda,3,1,-0.342,0.342,0.342,30
peakgate4_Susqueda,3,2,-0.075,0.075,0.075,30
peakgate4_Susqueda,3,3,-0.194,0.194,0.194,30
peakgate4_Susqueda,3,4,-0.271,0.271,0.271,30
peakgate4_Susqueda,3,5,-0.113,0.113,0.113,30
peakgate4_Susqueda,3,6,-0.144,0.144,0.144,30
peakgate4_Susqueda,3,7,-0.086,0.086,0.086,30
peakgate4_Susqueda,4,1,-0.1,0.1,0.1,30
peakgate4_Susqueda,4,2,-0.181,0.181,0.181,30
peakgate4_Susqueda,4,3,-0.266,0.266,0.266,30
peakgate4_Susqueda,4,4,-0.113,0.113,0.113,30
peakgate4_Susqueda,4,5,-0.206,0.206,0.206,30
peakgate4_Susqueda,4,6,-0.071,0.071,0.071,30
peakgate4_Susqueda,4,7,0.041,-0.041,-0.041,30
peakgate4_Susqueda,5,1,-0.276,0.276,0.276,30
peakgate4_Susqueda,5,2,-0.257,0.257,0.257,30
peakgate4_Susqueda,5,3,-0.145,0.145,0.145,30
peakgate4_Susqueda,5,4,-0.177,0.177,0.177,30
peakgate4_Susqueda,5,5,-0.109,0.109,0.109,30
peakgate4_Susqueda,5,6,0.129,-0.129,-0.129,30
peakgate4_Susqueda,5,7,-0.273,0.273,0.273,30
peakgate4_Susqueda,6,1,-0.267,0.267,0.267,30
peakgate4_Susqueda,6,2,-0.085,0.085,0.085,30
peakgate4_Susqueda,6,3,-0.172,0.172,0.172,30
peakgate4_Susqueda,6,4,-0.079,0.079,0.079,30
peakgate4_Susqueda,6,5,0.071,-0.071,-0.071,30
peakgate4_Susqueda,6,6,-0.262,0.262,0.262,30
peakgate4_Susqueda,6,7,0.121,-0.121,-0.121,30
peakgate4_Susqueda,7,1,-0.093,0.093,0.093,30
peakgate4_Susqueda,7,2,-0.189,0.189,0.189,30
peakgate4_Susqueda,7,3,-0.033,0.033,0.033,30
peakgate4_Susqueda,7,4,0.101,-0.101,-0.101,30
peakgate4_Susqueda,7,5,-0.285,0.285,0.285,30
peakgate4_Susqueda,7,6,0.206,-0.206,-0.206,30
peakgate4_Susqueda,7,7,0.126,-0.126,-0.126,30
peakgate4_Susqueda,8,1,-0.205,0.205,0.205,30
peakgate4_Susqueda,8,2,-0.042,0.042,0.042,30
peakgate4_Susqueda,8,3,0.046,-0.046,-0.046,30
peakgate4_Susqueda,8,4,-0.259,0.259,0.259,30
peakgate4_Susqueda,8,5,0.195,-0.195,-0.195,30
peakgate4_Susqueda,8,6,0.225,-0.225,-0.225,30
peakgate4_Susqueda,8,7,-0.274,0.274,0.274,30
peakgate4_Susqueda,9,1,-0.08,0.08,0.08,30
peakgate4_Susqueda,9,2,0.118,-0.118,-0.118,30
peakgate4_Susqueda,9,3,-0.268,0.268,0.268,30
peakgate4_Susqueda,9,4,0.153,-0.153,-0.153,30
peakgate4_Susqueda,9,5,0.166,-0.166,-0.166,30
peakgate4_Susqueda,9,6,0.009,-0.009,-0.009,30
peakgate4_Susqueda,9,7,-0.1,0.1,0.1,29
peakgate4_Susqueda,10,1,0.124,-0.124,-0.124,30
peakgate4_Susqueda,10,2,-0.225,0.225,0.225,30
peakgate4_Susqueda,10,3,0.147,-0.147,-0.147,30
peakgate4_Susqueda,10,4,0.069,-0.069,-0.069,30
peakgate4_Susqueda,10,5,0.009,-0.009,-0.009,30
peakgate4_Susqueda,10,6,-0.219,0.219,0.219,29
peakgate4_Susqueda,10,7,-0.137,0.137,0.137,29
peakgate4_Susqueda,11,1,-0.304,0.304,0.304,30
peakgate4_Susqueda,11,2,0.063,-0.063,-0.063,30
peakgate4_Susqueda,11,3,0.128,-0.128,-0.128,30
peakgate4_Susqueda,11,4,-0.274,0.274,0.274,30
peakgate4_Susqueda,11,5,-0.186,0.186,0.186,29
peakgate4_Susqueda,11,6,-0.101,0.101,0.101,29
peakgate4_Susqueda,11,7,-0.151,0.151,0.151,29
peakgate4_Susqueda,12,1,0.011,-0.011,-0.011,30
peakgate4_Susqueda,12,2,0.055,-0.055,-0.055,30
peakgate4_Susqueda,12,3,-0.071,0.071,0.071,30
peakgate4_Susqueda,12,4,-0.297,0.297,0.297,29
peakgate4_Susqueda,12,5,-0.113,0.113,0.113,29
peakgate4_Susqueda,12,6,-0.123,0.123,0.123,29
peakgate4_Susqueda,12,7,-0.328,0.328,0.328,29
